,Genes,6709.han,81F3.han,5411.han,5408.han,5217.han,5B89.han,4EFB.han,5728.han,5B57.han,6210.han
58,4EFB.02.152,4.66098491709039e-05,2.289079512426642e-07,1.360146243796281e-05,0.0005717156376729971,2.293606575690627e-07,1.459415089816641e-07,9.43741670911345e-12,1.623259848981986e-08,9.136836666514869e-07,4.633008897911965e-07
59,4EFB.02.153,2.094441867736473e-11,1.258461181834338e-05,4.931890961789985e-14,5.558610106222318e-15,1.093117354796372e-15,8.23484912816713e-14,8.622997587215913e-19,7.017365893826564e-12,5.271226813894347e-08,1.542501520192183e-06
60,4EFB.02.154,1.641634197879182e-06,8.911734582492132e-09,6.993961757508435e-06,2.688248609092403e-12,2.197471865944291e-06,4.292849343589272e-06,0.01019775862908674,7.323799142725378e-07,1.103692946205373e-05,2.174349846361326e-06
61,4EFB.02.155,2.09561861670766e-06,3.576488684718598e-08,6.195505371934759e-05,8.782470348574902e-12,4.073351600852387e-05,1.875972862452882e-06,0.01038444347053391,0.0001836424887816449,2.531356626149182e-06,9.941443086378753e-07
62,4EFB.02.156,0.0002968728259231079,4.541507421508346e-07,6.311296725714195e-10,1.096193223040714e-13,1.977921643475715e-05,9.141970238804428e-09,0.01109870571342551,0.001459660861205449,2.708335623655979e-08,3.642200702321071e-05
63,4EFB.02.157,3.403867382949323e-06,5.654679621073319e-09,9.90379472570827e-06,1.713523854848511e-06,1.601611608120103e-08,1.576489844050312e-06,0.01002856630191314,0.000259982479235111,5.66918077427467e-06,3.732910397640365e-08
64,4EFB.02.158,1.675539465944344e-06,7.815668738893617e-14,1.388348155303628e-09,1.145829694691869e-09,3.801343499406627e-11,3.793222292302406e-07,2.958640391299643e-10,7.421134570210689e-08,4.932116269383086e-08,4.255036577505914e-08
65,4EFB.02.159,3.009549008657027e-05,2.987831830072974e-05,2.583557188913329e-05,8.223387963320984e-12,0.0003637560222014694,6.465228859385617e-07,0.01006995394207226,7.679382275685252e-09,1.935831957245241e-05,6.762619079367918e-06
66,4EFB.02.16,7.646660680445492e-08,1.036346324839939e-10,4.581927813149881e-08,1.259623990048303e-09,1.789382262800763e-05,3.51688800447999e-06,0.01979294957033318,9.048638644131422e-05,8.772077028559769e-07,0.00023832415861809
67,4EFB.02.160,1.172604009453223e-07,6.076309225144701e-20,6.296758808552173e-07,7.49819611513307e-12,2.15388106140096e-05,8.054143612778778e-16,1.246980841919744e-07,0.0003362530916896764,2.883347054428792e-08,4.959564093107446e-10
68,4EFB.02.161,3.989137059216979e-06,3.219826882101531e-07,7.370374403244897e-06,9.89794458506397e-05,0.0003260685484818962,1.432176112272343e-09,7.891393287806576e-06,3.267780940766143e-06,4.441756195254144e-06,5.6117510032236e-07
69,4EFB.02.162,2.421375240838028e-07,7.21729859921698e-15,8.099744150332377e-05,1.488803486709658e-07,2.444227967980203e-06,4.085340948494062e-07,0.009251975709324688,5.876386907831145e-05,1.430066185324472e-06,1.907281176691151e-09
70,4EFB.02.163,0.0009980915725604387,1.043063244917977e-10,8.701561237945322e-05,5.905874252813383e-05,4.814978441824708e-06,3.402731828785313e-10,0.01196621716475882,0.0002066424715669505,1.433275294967298e-13,4.546600331113208e-06
