,Genes,89D2.han,4F4D.han,5F62.han,4F55.han,5E8F.han
207,5E8F.01.15.gene,0.0008752376061547815,0.0008185421740665166,2.98946638075753e-05,0.0001607891102848177,0.05033254050327633
208,5E8F.01.16.gene,0.002528923440031547,0.0009315333147326219,4.465493873977986e-06,0.0003149721229426532,0.0521082842916266
209,5E8F.01.17.gene,0.0001960606998551219,0.0004880527840500257,8.464071383097306e-06,0.0003629323447499808,0.05137537935678778
210,5E8F.01.18.gene,0.000360833626741668,0.001013923026346404,1.911377135192941e-06,5.857037381831115e-05,0.05999165577502642
211,5E8F.01.19.gene,0.0008911410735628847,0.0005455808974724292,8.364830621054152e-05,0.0002914673971324525,0.05130440666623817
212,5E8F.01.2.gene,0.001601482930628678,0.0008171458564181059,1.417232000762127e-05,0.0003141528459388042,0.05064352923356788
213,5E8F.01.20.gene,0.0005045674126634068,0.001883214525980301,4.589853442262265e-05,0.0006382315067465859,0.05274738477116203
214,5E8F.01.21.gene,0.000189792680331404,0.0002305847667439722,6.024357705815425e-06,5.298752539706326e-05,0.05354935456260435
215,5E8F.01.22.gene,0.0004661155641241826,0.001172346637151151,2.04922119466121e-06,0.0002917318377318131,0.0510984055828264
216,5E8F.01.23.gene,0.0002322543403250668,0.0005262231244708492,1.877676772484153e-06,6.860939239849085e-05,0.05049461154674604
217,5E8F.01.24.gene,0.0006718786126538846,0.0005037989565248165,0.0001668117249078871,0.0001816168865170316,0.05676566555433878
218,5E8F.01.25.gene,0.001285699188008742,0.0004713375274587407,2.29012236638856e-05,5.953820752429861e-05,0.05023680717034908
219,5E8F.01.26.gene,0.0006123952985444432,0.001659204334334723,4.185132689356283e-05,0.0002070967712755084,0.05231192633749127
220,5E8F.01.27.gene,0.001609646366226246,0.001106785664100083,1.069636839716769e-05,0.0002089923188720101,0.05704164693342242
221,5E8F.01.28.gene,0.0001524674402730097,0.000166224833142386,1.084555759822474e-05,0.0003100888364887882,0.05296252015254153
222,5E8F.01.29.gene,0.001676666120853213,0.001097179075505395,3.683078388392602e-06,0.0002513984906105071,0.05644626907936842
