,Genes,89D2,4F4D,5F62,4F55,5E8F
100,4F55.02.1,2.813883593782831e-05,0.0009534603067385882,3.348720756176615e-06,0.01190718933374418,1.413261279542065e-05
101,4F55.02.10,9.0459374714696e-08,0.0001280714019659541,1.438775532873231e-07,0.0612589859808902,4.060353877316508e-05
102,4F55.02.100,5.132283722494501e-06,1.963544564391071e-05,4.420103303320264e-08,3.842743094021793e-05,5.613606553452958e-06
103,4F55.02.11,1.586018539382772e-05,0.0004987642786428665,1.437991764467597e-05,0.05179120798184206,0.0002750236575795772
104,4F55.02.12,4.867948203611025e-06,9.183116831363202e-05,2.156861920985011e-06,0.05191952298781178,3.691601012676833e-05
105,4F55.02.13,0.0001535876620230671,0.0006183330938753771,1.599049826203339e-06,0.06383120461359576,0.0001078104497743819
106,4F55.02.14,1.604552024865267e-06,0.0001739158917978222,2.243389151938482e-06,0.05427593505929609,4.559720501385265e-06
107,4F55.02.15,0.0004400645116664669,6.052776919129704e-11,1.89635445948008e-07,0.05057340219462724,7.120711758828457e-05
108,4F55.02.16,9.215811924087837e-05,0.0001641019746382376,2.223753382391087e-07,0.051914297507506,8.502858823215775e-05
109,4F55.02.17,8.994918538176718e-06,8.65848069313724e-05,7.019518718202119e-08,0.05616810239971554,1.97265830402086e-05
110,4F55.02.18,0.00013915036587083,0.0001885287494716899,1.363537140723673e-06,5.993835659418662e-06,0.0001087523166843955
111,4F55.02.19,2.986401064225623e-08,4.034846419123845e-05,3.870013453327228e-13,0.05122127447003486,1.187503723312063e-21
112,4F55.02.2,4.378547574320485e-06,3.976483487931189e-08,5.677347128670929e-06,0.05089545154288648,1.072083660863515e-05
113,4F55.02.20,1.019147010845645e-05,1.164330859860039e-06,1.134786592269394e-05,0.05401532998556154,0.0003371833622166859
114,4F55.02.21,8.450103276190057e-05,7.117123533518166e-07,2.871951240744267e-05,0.06699287636557608,6.071977269626134e-05
115,4F55.02.22,8.936987886273568e-05,6.568159656740957e-06,1.117890489856978e-05,0.003379643271745805,3.908624939129366e-05
116,4F55.02.23,0.0003129530335557272,9.71249081405909e-07,1.215058708505739e-06,0.0001912700911391086,1.697139011618225e-05
117,4F55.02.24,4.459102370437484e-05,2.156276730434157e-05,1.511785240974749e-06,0.05977457613996408,4.878199702644857e-05
118,4F55.02.25,1.670678196882609e-05,0.0001040532135384109,2.742914784385293e-06,0.05955811440337642,2.37067604874656e-05
119,4F55.02.26,2.438339725641565e-06,0.0003385150762339034,1.466123611616453e-05,0.07852729678033486,5.561870842189876e-07
120,4F55.02.27,1.439137190869652e-05,0.0004471291115364461,5.108762864775779e-05,0.06380379458533843,0.001260906295378394
121,4F55.02.28,1.416139695443406e-05,8.957658870887937e-05,3.800189765125684e-07,0.05161071373285635,3.162271827781616e-05
122,4F55.02.29,7.25936375780578e-05,1.547521947753211e-09,2.228577239203237e-07,0.0002571703425630026,2.563114486274394e-06
123,4F55.02.3,0.000437080932211616,6.255858458694438e-10,4.62979548341755e-05,0.0004951957909174738,1.673147420567834e-08
124,4F55.02.30,1.033256321929959e-05,0.000453483858978798,6.610875200531216e-07,0.00113549473205752,1.321079269003493e-06
125,4F55.02.31,0.0007734446456093609,0.0001273468923912963,8.203264569828262e-06,0.05216460303157486,3.488670481553817e-05
126,4F55.02.32,0.0007997911404125659,5.704100438161765e-09,3.791571571205672e-05,0.001438243620495717,3.458600416135192e-06
127,4F55.02.33,9.536871282260019e-06,8.226606913059859e-08,3.569307989550345e-06,0.05357379764344095,8.205089548593941e-06
128,4F55.02.34,0.0006947261939357557,0.0004005325917424513,1.382433840346326e-05,0.004100459577510884,4.262378334058235e-05
129,4F55.02.35,1.752993832401148e-05,2.369380054096336e-07,9.511728878522704e-06,0.05295412003211514,2.443557544871143e-06
130,4F55.02.36,4.61358630807183e-07,0.001037240242183891,1.102841785296357e-08,0.05103040683111378,7.401707261597757e-09
131,4F55.02.37,5.579698715266768e-06,1.213327202142501e-07,1.967004427614443e-05,0.05797066661030448,1.806964090274425e-07
132,4F55.02.38,7.508973884243232e-06,7.631566441589068e-05,5.718612860063071e-08,0.05509832055431653,5.769777268037481e-07
133,4F55.02.39,0.001540928526785959,4.984239055686464e-10,1.40590042552199e-07,0.064937218255654,4.94863959147777e-05
134,4F55.02.4,6.621929793049597e-05,5.543669113072166e-07,2.542864249902955e-07,0.0001687956551149163,1.896439945149391e-06
135,4F55.02.40,1.657247222032143e-06,2.334566883440223e-09,9.713627032596798e-07,0.05224997308575927,8.601741713729172e-06
136,4F55.02.41,6.834833949843949e-06,7.443856543157333e-05,3.920249448015476e-08,0.0523873610238818,0.0003513989740431798
137,4F55.02.42,1.043532599571883e-05,0.0009444488725244228,1.178335376519573e-05,0.05117054590928061,1.047755325994903e-05
138,4F55.02.43,7.917098106798345e-07,0.0001136142241244398,6.389051410257963e-07,0.05936473719059702,0.0004267863088356648
139,4F55.02.44,5.7585243671464e-06,3.433759199922373e-07,8.147987507495407e-07,0.06510962790900737,0.0001616978673259283
140,4F55.02.45,0.0005240562566925765,7.90021134894583e-08,3.673432559447281e-05,0.05420400132628745,1.254664058279414e-06
141,4F55.02.46,7.890384111059636e-07,5.677577276800486e-13,6.431210175536099e-08,0.000111961523728397,4.802571373687075e-05
142,4F55.02.47,8.611889299737352e-08,2.745591584472095e-09,1.419596032240842e-05,0.05324999542383761,3.640303500075623e-05
143,4F55.02.48,8.48964861404556e-06,5.615147293331346e-05,5.731908726588536e-07,0.05321924770408355,0.0002333658782157406
144,4F55.02.49,9.001954081601416e-05,0.0007711624727111179,2.477450064691406e-05,0.05421629645944638,8.45570207923448e-06
145,4F55.02.5,8.850365715163912e-05,4.292267786319696e-06,1.448554046013475e-05,0.06691423638976406,8.146863120662051e-05
146,4F55.02.50,0.0002258275000398399,2.022761603417286e-07,4.989661347779178e-06,0.05732660087335091,5.536761649160876e-06
147,4F55.02.51,0.001061264700433982,0.0001016714083226015,3.301521743343063e-06,0.002238823397349259,7.432815761602521e-07
148,4F55.02.52,1.470863706531121e-05,1.201642112291008e-06,1.453838123855119e-06,0.05098899951311466,0.0002272279603044044
149,4F55.02.53,0.001358423865319643,7.303311501978528e-07,9.95736348791412e-07,0.05443400304056425,6.662395210257833e-06
